Family,pathogen_species,Disease,Reservoir_order,spill_type,Reservoir_spill_notes,Reservoir_spill_reference,CFR_low,CFR_high,CFR_avg,CFR_notes,CFR_reference,transmissibility,transmissibility_notes,transmissibility_reference,transmission_route_primary,transmission_route_notes,transmission_route_reference,Cell,cell_notes,cell_reference,Synonym,Type,Motility,Spore,PubMed.records.log
Bartonellaceae,Bartonella bacilliformis,Carrion's disease; Oroya fever; Verruga peruana,Primates,not_zoonotic,"human pathogen, no known animal reservoirs","Pons et al. 2016, Barbour, 2017",0.88,0.88,0.88,CFR is 88% in untreated cases--this is reduced to 10% in treated cases,"Gomes et al. 2016, Forrester et al. 2014",4,,"https://www.cdc.gov/bartonella/transmission/index.html#:~:text=Carri%C3%B3n's%20disease%2C%20Bartonella%20bacilliformis,Peru%2C%20Colombia%2C%20and%20Ecuador. , Russell et al. 2018",vector,sandflies,"https://www.cdc.gov/bartonella/transmission/index.html , Russell et al. 2018",Facultative intracellular,NA,Harms et al. 2012,Bartonia bacilliformis,Bacteria,Motile,No,2.363612
Pasteurellaceae,Haemophilus ducreyi,Chancroid,Primates,not_zoonotic,Reservoir is sex workers,"Julie A. Brothwell et al. 2021, Garcia-Quintanilla et al. 2019",0,0,0,"genital lesions; painful but no risk of mortality; untreated, infection resolves within 1-3 months; facilitates the transmission of HIV","Al-Tawfiq et al. 2002, Kosek et al. 2000",4,spread by sexual contact,"https://www.health.ny.gov/diseases/communicable/chancroid/fact_sheet.htm#:~:text=Chancroid%20is%20spread%20by%20sexual,does%20not%20practice%20personal%20hygiene. , Gomes and Ruiz, 2018",skin_contact,sexually trasmitted infection/disease,"https://www.health.ny.gov/diseases/communicable/chancroid/fact_sheet.htm#:~:text=Chancroid%20is%20spread%20by%20sexual,does%20not%20practice%20personal%20hygiene. , Gomes and Ruiz, 2018",Extracellular,NA,Shaw et al. 2020,Haemophilus ducreyi; Coccobacillus ducreyi; Bacillus ulceris cancrosi,Bacteria,Non-motile,No,2.908485
Chlamydiaceae,Chlamydia trachomatis,Chlamydia,Primates,not_zoonotic,Reservoir are humans,"Meenakshi Malhotra et al. 2013, Lewis et al. 2003",3.90E-06,3.90E-06,3.90E-06,http://ghdx.healthdata.org/gbd-results-tool,"Global Health Data Exchange data for 2019; estimated values (971.65 deaths and 232,534,841.19 cases), Trees et al. 1995",4,spread by sexual contact,", Bong et al. 2002",bodily_fluids,,", Bong et al. 2002",Obligate intracellular,NA,Shaw et al. 2020,Rickettsia trachomatis; Rickettsia trachomae; Chlamydozoon trachomatis,Bacteria,Non-motile,No,4.114144
Chlamydiaceae,Chlamydia trachomatis,Trachoma,Primates,not_zoonotic,Reservoir are humans,"Meenakshi Malhotra et al. 2013, Acute Communicable Disease Control Manual (B-73), 2016",0,0,0,Trachoma is a disease of the eye caused by infection with the bacterium Chlamydia trachomatis. Blindness from trachoma is irreversible.,"https://www.who.int/news-room/fact-sheets/detail/trachoma, McElligott, 2014",4,trachoma is spread person to person,"https://www.cdc.gov/healthywater/hygiene/disease/trachoma.html#:~:text=Trachoma%20is%20the%20world's%20leading,nose%20of%20an%20infected%20person. , Acute Communicable Disease Control Manual (B-73), 2016",skin_contact,,"Robinson et al. 2021, https://www.who.int/news-room/fact-sheets/detail/trachoma , Acute Communicable Disease Control Manual (B-73), 2016",Obligate intracellular,NA,Shaw et al. 2020,Rickettsia trachomatis; Rickettsia trachomae; Chlamydozoon trachomatis,Bacteria,Non-motile,No,4.114144
Vibrionaceae,Vibrio cholerae,Cholera,Environment,not_zoonotic,,"Luigi Vezzulli et al. 2010, Hu et al. 2010",0.25,0.5,0.375,"If left untreated, cholera has a 25-50% mortality rate. Treatment reduces this to less than 1%.","Fournier et al. 2007. Cholera. https://pubmed.ncbi.nlm.nih.gov/17336031/, Porco et al. 2009",1,"fecal_oral transmission route, can circulate in the human population","https://www.cdc.gov/cholera/general/index.html#:~:text=A%20person%20can%20get%20cholera,of%20sewage%20and%20drinking%20water. , Hu et al. 2010",via_environment,,"https://www.cdc.gov/cholera/general/index.html#:~:text=A%20person%20can%20get%20cholera,of%20sewage%20and%20drinking%20water. , Hu et al. 2010",Extracellular,NA,Shaw et al. 2020,"Vibrio comma; Vibrio cholerae-asiaticae; Spirillum cholerae, etc.",Bacteria,Motile,No,3.975845
Neisseriaceae,Neisseria gonorrhoeae,Gonorrhea,Primates,not_zoonotic,human pathogen,"https://www.cdc.gov/std/gonorrhea/lab/habitat.htm, Islam et al. 2020",3.37E-05,3.37E-05,3.37E-05,"Global Health Data Exchange data for 2019; estimated values (2,962.87 deaths and 87,951,953.16 cases)","http://ghdx.healthdata.org/gbd-results-tool, Fournier et al. 2007",4,spread by sexual contact,", Faruque et al. 2006",bodily_fluids,STD,"https://www.cdc.gov/std/gonorrhea/stdfact-gonorrhea-detailed.htm#:~:text=Gonorrhea%20is%20transmitted%20through%20sexual,mother%20to%20baby%20during%20childbirth. , Faruque et al. 2006",Facultative intracellular,NA,Shaw et al. 2020,,Bacteria,Non-motile,No,3.98331
Enterobacteriaceae,Klebsiella granulomatis,Granuloma inguinale; Donovanosis,Primates,not_zoonotic,"human pathogen, reservoir for Klebsiella species not specific strain","https://www.canada.ca/en/public-health/services/laboratory-biosafety-biosecurity/pathogen-safety-data-sheets-risk-assessment/klebsiella.html, Quillin and Seifert, 2018",0,0,0,CFR essentially zero; death is very rare and only results in cases that becomes systemic,"GIDEON, GBD 2013 Mortality and Causes of Death Collaborators, 2015",4,Sexually transmitted,", Unemo et al. 2019",bodily_fluids,STI,"https://www.ncbi.nlm.nih.gov/books/NBK513306/ , Unemo et al. 2019",Facultative intracellular,NA,https://www.ufrgs.br/imunovet/molecular_immunology/pathobacteria.htm,Encapsulatus inguinalis; Donovania granulomatis; Calymmatobacterium granulomatis,Bacteria,Non-motile,No,1.278754
Pasteurellaceae,Haemophilus aegyptius,Koch-Weeks bacillus; Brazilian Purpuric Fever,Primates,not_zoonotic,"human pathogen, not zoonotic and not vectorborne from Shaw et al.","Shaw et al. , Belda Junior, 2020",0.4,0.9,0.65,Case fatality rate of 40%-90%,"Santana-Porto et al. 2009, O'Farrell et al. 2018",4,transmissibiltiy for Haemophilus influenzae,"https://www.cdc.gov/hi-disease/about/causes-transmission.html , Belda Junior, 2020",respiratory_droplets,,"https://www.cdc.gov/hi-disease/about/causes-transmission.html , Belda Junior, 2020",Facultative intracellular,Multiple references suggest that Haemophilus spp. pathogens are facultative intracellular,https://link.springer.com/chapter/10.1007/978-3-319-67651-7_17,Hemophilus conjunctivitidis; Bacterium pseudo conjunctivitidis; Bacterium aegyptiacum,Bacteria,Non-motile,No,1.778151
Legionellaceae,Fluoribacter bozemanae,Legionellosis; Legionnaires' disease,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, Research Occupational Health Program Boston University, 2012",0.1,0.1,0.1,Case-fatality rate: 10%,"https://www.cdc.gov/legionella/clinicians/clinical-features.html, Santana-Porto et al. 2009",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Souder et al. 2018",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Souder et al. 2018",Facultative intracellular,Legionella bozemanae,https://books.google.com/books?id=zupV01Oyd5kC&pg=PA42&lpg=PA42&dq=%22Genera+of+Class+Legionellaceae+are+facultative+intracellular+organisms+and+include+Legionella+and+Fluoribacter%22&source=bl&ots=zWINukK5ep&sig=ACfU3U2LqKzqmB3H7ocDn298QmI_zzjG8w&hl=en&sa=X&ved=2ahUKEwjL9-W8qqfyAhXG-J4KHZKrBzEQ6AF6BAgHEAM#v=onepage&q=%22Genera%20of%20Class%20Legionellaceae%20are%20facultative%20intracellular%20organisms%20and%20include%20Legionella%20and%20Fluoribacter%22&f=false,Legionella bozemanii; Legionella bozemaniae; Fluoribacter bozemaniae,Bacteria,Motile,No,0.69897
Legionellaceae,Fluoribacter dumoffii,Legionellosis; Legionnaires' disease,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, Research Occupational Health Program Boston University, 2012",0.1,0.1,0.1,Case-fatality rate: 10%,"https://www.cdc.gov/legionella/clinicians/clinical-features.html, Santana-Porto et al. 2009",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Souder et al. 2018",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Souder et al. 2018",Facultative intracellular,Legionella dumoffii,https://www.researchgate.net/publication/8550039_Legionella_dumoffii_DjlA_a_Member_of_the_DnaJ_Family_Is_Required_for_Intracellular_Growth,Legionella dumoffii,Bacteria,Motile,No,0.778151
